organ,age,Tsoil,Ksoil,SRWC,t,Tr,soil_water_potential,proteins,sucrose,green_area,xylem_water_potential,plant,axis,amino_acids,mstruct,total_water_potential
phloem,NA,NA,NA,NA,18,NA,NA,NA,161.04390702,NA,NA,1,MS,6.01958231,NA,NA
roots,NA,NA,NA,NA,18,NA,NA,NA,79.86315078,NA,NA,1,MS,1.52426614,0.03604815,NA
xylem,NA,NA,NA,NA,18,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03392846
phloem,NA,NA,NA,NA,19,NA,NA,NA,159.55919798,NA,NA,1,MS,6.04385328,NA,NA
roots,NA,NA,NA,NA,19,NA,NA,NA,77.52958654,NA,NA,1,MS,1.53862975,0.03612327,NA
xylem,NA,NA,NA,NA,19,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394127
phloem,NA,NA,NA,NA,20,NA,NA,NA,161.39581053,NA,NA,1,MS,6.02790427,NA,NA
roots,NA,NA,NA,NA,20,NA,NA,NA,75.43879492,NA,NA,1,MS,1.53072963,0.03619705,NA
xylem,NA,NA,NA,NA,20,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03445565
phloem,NA,NA,NA,NA,21,NA,NA,NA,169.69298826,NA,NA,1,MS,6.09572881,NA,NA
roots,NA,NA,NA,NA,21,NA,NA,NA,73.84003394,NA,NA,1,MS,1.44484702,0.03626956,NA
xylem,NA,NA,NA,NA,21,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03472897
phloem,NA,NA,NA,NA,22,NA,NA,NA,183.07619311,NA,NA,1,MS,6.24206725,NA,NA
roots,NA,NA,NA,NA,22,NA,NA,NA,73.08992896,NA,NA,1,MS,1.33811398,0.03634106,NA
xylem,NA,NA,NA,NA,22,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03567916
phloem,NA,NA,NA,NA,23,NA,NA,NA,198.63030157,NA,NA,1,MS,6.42929767,NA,NA
roots,NA,NA,NA,NA,23,NA,NA,NA,73.42799059,NA,NA,1,MS,1.25596743,0.03641209,NA
xylem,NA,NA,NA,NA,23,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03632678
phloem,NA,NA,NA,NA,24,NA,NA,NA,215.75119094,NA,NA,1,MS,6.66663561,NA,NA
roots,NA,NA,NA,NA,24,NA,NA,NA,74.99078688,NA,NA,1,MS,1.18077443,0.03648339,NA
xylem,NA,NA,NA,NA,24,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03662170
phloem,NA,NA,NA,NA,25,NA,NA,NA,234.32433274,NA,NA,1,MS,6.96672124,NA,NA
roots,NA,NA,NA,NA,25,NA,NA,NA,77.88450785,NA,NA,1,MS,1.10665518,0.03655579,NA
xylem,NA,NA,NA,NA,25,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03717308
phloem,NA,NA,NA,NA,26,NA,NA,NA,250.24431136,NA,NA,1,MS,7.18657336,NA,NA
roots,NA,NA,NA,NA,26,NA,NA,NA,81.99798835,NA,NA,1,MS,1.13575704,0.03663010,NA
xylem,NA,NA,NA,NA,26,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03791012
phloem,NA,NA,NA,NA,27,NA,NA,NA,262.96629892,NA,NA,1,MS,7.31441595,NA,NA
roots,NA,NA,NA,NA,27,NA,NA,NA,86.96802182,NA,NA,1,MS,1.21482598,0.03670691,NA
xylem,NA,NA,NA,NA,27,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03710832
phloem,NA,NA,NA,NA,28,NA,NA,NA,271.51285420,NA,NA,1,MS,7.33706259,NA,NA
roots,NA,NA,NA,NA,28,NA,NA,NA,92.33872089,NA,NA,1,MS,1.34095008,0.03678647,NA
xylem,NA,NA,NA,NA,28,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03658902
phloem,NA,NA,NA,NA,29,NA,NA,NA,272.71768489,NA,NA,1,MS,7.22525403,NA,NA
roots,NA,NA,NA,NA,29,NA,NA,NA,97.47336617,NA,NA,1,MS,1.53781385,0.03686867,NA
xylem,NA,NA,NA,NA,29,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03587606
phloem,NA,NA,NA,NA,30,NA,NA,NA,268.80160777,NA,NA,1,MS,7.03858147,NA,NA
roots,NA,NA,NA,NA,30,NA,NA,NA,101.76148635,NA,NA,1,MS,1.74282399,0.03695317,NA
xylem,NA,NA,NA,NA,30,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03479156
phloem,NA,NA,NA,NA,31,NA,NA,NA,261.81204145,NA,NA,1,MS,6.79496632,NA,NA
roots,NA,NA,NA,NA,31,NA,NA,NA,104.91150842,NA,NA,1,MS,1.93793854,0.03703943,NA
xylem,NA,NA,NA,NA,31,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03432408
phloem,NA,NA,NA,NA,32,NA,NA,NA,255.29321751,NA,NA,1,MS,6.62543093,NA,NA
roots,NA,NA,NA,NA,32,NA,NA,NA,106.05142195,NA,NA,1,MS,2.08697299,0.03712694,NA
xylem,NA,NA,NA,NA,32,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03405406
phloem,NA,NA,NA,NA,33,NA,NA,NA,249.00863889,NA,NA,1,MS,6.45460538,NA,NA
roots,NA,NA,NA,NA,33,NA,NA,NA,106.54185862,NA,NA,1,MS,2.21466312,0.03721497,NA
xylem,NA,NA,NA,NA,33,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393437
phloem,NA,NA,NA,NA,34,NA,NA,NA,243.02917646,NA,NA,1,MS,6.28716545,NA,NA
roots,NA,NA,NA,NA,34,NA,NA,NA,106.50947807,NA,NA,1,MS,2.32496920,0.03730328,NA
xylem,NA,NA,NA,NA,34,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393560
phloem,NA,NA,NA,NA,35,NA,NA,NA,237.31086752,NA,NA,1,MS,6.12512101,NA,NA
roots,NA,NA,NA,NA,35,NA,NA,NA,106.03913051,NA,NA,1,MS,2.42045057,0.03739170,NA
xylem,NA,NA,NA,NA,35,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393534
phloem,NA,NA,NA,NA,36,NA,NA,NA,231.86233138,NA,NA,1,MS,5.96959910,NA,NA
roots,NA,NA,NA,NA,36,NA,NA,NA,105.21259843,NA,NA,1,MS,2.50360789,0.03748009,NA
xylem,NA,NA,NA,NA,36,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393539
phloem,NA,NA,NA,NA,37,NA,NA,NA,226.70965631,NA,NA,1,MS,5.82169122,NA,NA
roots,NA,NA,NA,NA,37,NA,NA,NA,104.10150418,NA,NA,1,MS,2.57615039,0.03756831,NA
xylem,NA,NA,NA,NA,37,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393469
phloem,NA,NA,NA,NA,38,NA,NA,NA,221.76792329,NA,NA,1,MS,5.68042837,NA,NA
roots,NA,NA,NA,NA,38,NA,NA,NA,102.75630108,NA,NA,1,MS,2.64000159,0.03765624,NA
xylem,NA,NA,NA,NA,38,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393642
phloem,NA,NA,NA,NA,39,NA,NA,NA,217.03245343,NA,NA,1,MS,5.54571247,NA,NA
roots,NA,NA,NA,NA,39,NA,NA,NA,101.22255533,NA,NA,1,MS,2.69651092,0.03774380,NA
xylem,NA,NA,NA,NA,39,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393722
phloem,NA,NA,NA,NA,40,NA,NA,NA,212.45280077,NA,NA,1,MS,5.41695956,NA,NA
roots,NA,NA,NA,NA,40,NA,NA,NA,99.53590910,NA,NA,1,MS,2.74673761,0.03783087,NA
xylem,NA,NA,NA,NA,40,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393700
phloem,NA,NA,NA,NA,41,NA,NA,NA,207.91485859,NA,NA,1,MS,5.29363812,NA,NA
roots,NA,NA,NA,NA,41,NA,NA,NA,97.72365140,NA,NA,1,MS,2.79152360,0.03791738,NA
xylem,NA,NA,NA,NA,41,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393728
phloem,NA,NA,NA,NA,42,NA,NA,NA,203.47847883,NA,NA,1,MS,5.21092774,NA,NA
roots,NA,NA,NA,NA,42,NA,NA,NA,95.79785600,NA,NA,1,MS,2.82902314,0.03800323,NA
xylem,NA,NA,NA,NA,42,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03393755
phloem,NA,NA,NA,NA,43,NA,NA,NA,200.91795045,NA,NA,1,MS,5.28465691,NA,NA
roots,NA,NA,NA,NA,43,NA,NA,NA,94.25628327,NA,NA,1,MS,2.77319214,0.03808834,NA
xylem,NA,NA,NA,NA,43,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03395078
phloem,NA,NA,NA,NA,44,NA,NA,NA,201.98834407,NA,NA,1,MS,5.32612044,NA,NA
roots,NA,NA,NA,NA,44,NA,NA,NA,92.83045095,NA,NA,1,MS,2.67144976,0.03817283,NA
xylem,NA,NA,NA,NA,44,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03448724
phloem,NA,NA,NA,NA,45,NA,NA,NA,210.07141186,NA,NA,1,MS,5.49572451,NA,NA
roots,NA,NA,NA,NA,45,NA,NA,NA,91.87628295,NA,NA,1,MS,2.42105805,0.03825675,NA
xylem,NA,NA,NA,NA,45,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03477424
phloem,NA,NA,NA,NA,46,NA,NA,NA,223.16894101,NA,NA,1,MS,5.77073652,NA,NA
roots,NA,NA,NA,NA,46,NA,NA,NA,91.82032469,NA,NA,1,MS,2.12904954,0.03834028,NA
xylem,NA,NA,NA,NA,46,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03576347
phloem,NA,NA,NA,NA,47,NA,NA,NA,238.40674912,NA,NA,1,MS,6.09184260,NA,NA
roots,NA,NA,NA,NA,47,NA,NA,NA,92.93048683,NA,NA,1,MS,1.88016900,0.03842386,NA
xylem,NA,NA,NA,NA,47,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03643586
phloem,NA,NA,NA,NA,48,NA,NA,NA,255.24626666,NA,NA,1,MS,6.46018041,NA,NA
roots,NA,NA,NA,NA,48,NA,NA,NA,95.30985760,NA,NA,1,MS,1.64948395,0.03850808,NA
xylem,NA,NA,NA,NA,48,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03674111
phloem,NA,NA,NA,NA,49,NA,NA,NA,273.66333424,NA,NA,1,MS,6.88422731,NA,NA
roots,NA,NA,NA,NA,49,NA,NA,NA,99.06335932,NA,NA,1,MS,1.43662890,0.03859352,NA
xylem,NA,NA,NA,NA,49,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03732029
phloem,NA,NA,NA,NA,50,NA,NA,NA,289.16926789,NA,NA,1,MS,7.18748533,NA,NA
roots,NA,NA,NA,NA,50,NA,NA,NA,104.05139888,NA,NA,1,MS,1.38307262,0.03868073,NA
xylem,NA,NA,NA,NA,50,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03809002
phloem,NA,NA,NA,NA,51,NA,NA,NA,301.45531556,NA,NA,1,MS,7.36830290,NA,NA
roots,NA,NA,NA,NA,51,NA,NA,NA,109.84477131,NA,NA,1,MS,1.40636064,0.03877009,NA
xylem,NA,NA,NA,NA,51,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03724818
phloem,NA,NA,NA,NA,52,NA,NA,NA,309.63635668,NA,NA,1,MS,7.42437502,NA,NA
roots,NA,NA,NA,NA,52,NA,NA,NA,115.91917057,NA,NA,1,MS,1.49715738,0.03886170,NA
xylem,NA,NA,NA,NA,52,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03670991
phloem,NA,NA,NA,NA,53,NA,NA,NA,310.06047757,NA,NA,1,MS,7.32466094,NA,NA
roots,NA,NA,NA,NA,53,NA,NA,NA,121.60166245,NA,NA,1,MS,1.67705242,0.03895543,NA
xylem,NA,NA,NA,NA,53,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03596347
phloem,NA,NA,NA,NA,54,NA,NA,NA,305.15282147,NA,NA,1,MS,7.14087866,NA,NA
roots,NA,NA,NA,NA,54,NA,NA,NA,126.18930461,NA,NA,1,MS,1.86911033,0.03905097,NA
xylem,NA,NA,NA,NA,54,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03483148
phloem,NA,NA,NA,NA,55,NA,NA,NA,297.43885325,NA,NA,1,MS,6.89444610,NA,NA
roots,NA,NA,NA,NA,55,NA,NA,NA,129.45204808,NA,NA,1,MS,2.05395697,0.03914790,NA
xylem,NA,NA,NA,NA,55,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03434710
phloem,NA,NA,NA,NA,56,NA,NA,NA,290.29719289,NA,NA,1,MS,6.72581411,NA,NA
roots,NA,NA,NA,NA,56,NA,NA,NA,130.48575614,NA,NA,1,MS,2.19441761,0.03924581,NA
xylem,NA,NA,NA,NA,56,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03406331
phloem,NA,NA,NA,NA,57,NA,NA,NA,283.47886661,NA,NA,1,MS,6.55545876,NA,NA
roots,NA,NA,NA,NA,57,NA,NA,NA,130.80680972,NA,NA,1,MS,2.31382433,0.03934413,NA
xylem,NA,NA,NA,NA,57,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394419
phloem,NA,NA,NA,NA,58,NA,NA,NA,277.01471886,NA,NA,1,MS,6.38825493,NA,NA
roots,NA,NA,NA,NA,58,NA,NA,NA,130.53302823,NA,NA,1,MS,2.41543378,0.03944270,NA
xylem,NA,NA,NA,NA,58,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394554
phloem,NA,NA,NA,NA,59,NA,NA,NA,270.90487745,NA,NA,1,MS,6.22658848,NA,NA
roots,NA,NA,NA,NA,59,NA,NA,NA,129.78736489,NA,NA,1,MS,2.50261731,0.03954137,NA
xylem,NA,NA,NA,NA,59,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394478
phloem,NA,NA,NA,NA,60,NA,NA,NA,265.01381516,NA,NA,1,MS,6.07121665,NA,NA
roots,NA,NA,NA,NA,60,NA,NA,NA,128.66347209,NA,NA,1,MS,2.57803417,0.03964003,NA
xylem,NA,NA,NA,NA,60,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394806
phloem,NA,NA,NA,NA,61,NA,NA,NA,259.29123372,NA,NA,1,MS,5.92253227,NA,NA
roots,NA,NA,NA,NA,61,NA,NA,NA,127.20878534,NA,NA,1,MS,2.64308349,0.03973856,NA
xylem,NA,NA,NA,NA,61,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394770
phloem,NA,NA,NA,NA,62,NA,NA,NA,253.92588567,NA,NA,1,MS,5.78049926,NA,NA
roots,NA,NA,NA,NA,62,NA,NA,NA,125.51104939,NA,NA,1,MS,2.70012490,0.03983689,NA
xylem,NA,NA,NA,NA,62,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394659
phloem,NA,NA,NA,NA,63,NA,NA,NA,248.68578194,NA,NA,1,MS,5.64475936,NA,NA
roots,NA,NA,NA,NA,63,NA,NA,NA,123.60335105,NA,NA,1,MS,2.75011176,0.03993491,NA
xylem,NA,NA,NA,NA,63,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394871
phloem,NA,NA,NA,NA,64,NA,NA,NA,243.67232511,NA,NA,1,MS,5.51506199,NA,NA
roots,NA,NA,NA,NA,64,NA,NA,NA,121.52352094,NA,NA,1,MS,2.79402261,0.04003256,NA
xylem,NA,NA,NA,NA,64,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394677
phloem,NA,NA,NA,NA,65,NA,NA,NA,238.87874346,NA,NA,1,MS,5.39148729,NA,NA
roots,NA,NA,NA,NA,65,NA,NA,NA,119.32137874,NA,NA,1,MS,2.83313001,0.04012976,NA
xylem,NA,NA,NA,NA,65,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394698
phloem,NA,NA,NA,NA,66,NA,NA,NA,234.08086561,NA,NA,1,MS,5.31055103,NA,NA
roots,NA,NA,NA,NA,66,NA,NA,NA,117.02340335,NA,NA,1,MS,2.86580582,0.04022643,NA
xylem,NA,NA,NA,NA,66,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03394912
phloem,NA,NA,NA,NA,67,NA,NA,NA,231.42038512,NA,NA,1,MS,5.40793185,NA,NA
roots,NA,NA,NA,NA,67,NA,NA,NA,115.13873839,NA,NA,1,MS,2.79847945,0.04032251,NA
xylem,NA,NA,NA,NA,67,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03396106
phloem,NA,NA,NA,NA,68,NA,NA,NA,232.78410715,NA,NA,1,MS,5.45969782,NA,NA
roots,NA,NA,NA,NA,68,NA,NA,NA,113.42582859,NA,NA,1,MS,2.68370438,0.04041810,NA
xylem,NA,NA,NA,NA,68,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03452423
phloem,NA,NA,NA,NA,69,NA,NA,NA,241.60853788,NA,NA,1,MS,5.65451110,NA,NA
roots,NA,NA,NA,NA,69,NA,NA,NA,112.28789325,NA,NA,1,MS,2.41315872,0.04051322,NA
xylem,NA,NA,NA,NA,69,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03482528
phloem,NA,NA,NA,NA,70,NA,NA,NA,255.51081965,NA,NA,1,MS,5.96164728,NA,NA
roots,NA,NA,NA,NA,70,NA,NA,NA,112.21576829,NA,NA,1,MS,2.10394287,0.04060806,NA
xylem,NA,NA,NA,NA,70,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03587309
phloem,NA,NA,NA,NA,71,NA,NA,NA,271.36579827,NA,NA,1,MS,6.31312600,NA,NA
roots,NA,NA,NA,NA,71,NA,NA,NA,113.45494678,NA,NA,1,MS,1.84348369,0.04070300,NA
xylem,NA,NA,NA,NA,71,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03658239
phloem,NA,NA,NA,NA,72,NA,NA,NA,288.81327671,NA,NA,1,MS,6.71544335,NA,NA
roots,NA,NA,NA,NA,72,NA,NA,NA,116.10504931,NA,NA,1,MS,1.60593126,0.04079851,NA
xylem,NA,NA,NA,NA,72,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03690411
phloem,NA,NA,NA,NA,73,NA,NA,NA,307.84024002,NA,NA,1,MS,7.17635314,NA,NA
roots,NA,NA,NA,NA,73,NA,NA,NA,120.25896192,NA,NA,1,MS,1.39097871,0.04089509,NA
xylem,NA,NA,NA,NA,73,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03751840
phloem,NA,NA,NA,NA,74,NA,NA,NA,323.66982870,NA,NA,1,MS,7.50164672,NA,NA
roots,NA,NA,NA,NA,74,NA,NA,NA,125.73170922,NA,NA,1,MS,1.34159573,0.04099318,NA
xylem,NA,NA,NA,NA,74,NA,-0.11900251,NA,NA,NA,NA,1,MS,NA,NA,-0.03832927
phloem,NA,NA,NA,NA,75,NA,NA,NA,336.18138497,NA,NA,1,MS,7.69868514,NA,NA
