Tillers_Photosynthesis,N_content_shoot,shoot_roots_ratio,sum_N_g,senesced_mstruct,plant,N_content_mstruct,axis,dry_mass_phloem,mstruct_laminae,sum_dry_mass_shoot,N_content_roots,sum_respi_shoot,Tillers_Photosynthesis_An,Total_Photosynthesis,t,mstruct_stem,N_content_mstruct_roots,C_N_ratio_shoot,mstruct_shoot,C_respired_shoot,sum_C_g,shoot_roots_mstruct_ratio,N_content_mstruct_shoot,Cont_WSC_DM_stem,mstruct,sum_NSC_g,sum_respi_roots,sum_dry_mass,Cont_WSC_DM_roots,NNI,C_exudated,sum_dry_mass_roots,NS_stem,sum_dry_mass_laminae,NS_laminae,sum_N_g_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM,N_content_total_DM_shoot,sum_dry_mass_stem,Total_Transpiration,NS_shoot,NS,N_content,NS_roots,C_respired_roots,C_N_ratio,Cont_WSC_DM_laminae
0.00000000,4.06714014,0.80480729,0.00198967,0.00000000,1,3.53895092,MS,0.00608491,0.01384832,0.03512417,1.28571118,0.39682231,0.00000000,0.00000000,10.00000000,0.00697287,1.58505180,10.34079751,0.02082119,0.70708025,0.03322707,0.58815443,6.86103612,16.175455337994716,0.05622207,0.00848936,0.27078467,0.07876713,14.520922437786806,0.92435003,0.28268388,0.04364296,38.40192617,0.02380422,41.82411023,0.00142855,12.810834009958066,13.758352581020835,4.06714014,0.01131995,0.00010252,40.72119616,28.62241418,2.52601773,18.88522620,1.32858139,16.69977584,11.210809756007265
0.00000000,4.07146633,0.80539466,0.00199292,0.00000000,1,3.53693516,MS,0.00598970,0.01387153,0.03510664,1.29289292,0.39454865,0.00000000,0.00000000,11.00000000,0.00698869,1.58814309,10.32962713,0.02086022,0.88527450,0.03319452,0.58784849,6.85206162,16.047258428650164,0.05634593,0.00840231,0.26746706,0.07869601,14.203065730288431,0.92533326,0.30953149,0.04358937,38.27509743,0.02378432,41.67784694,0.00142936,12.648195993025228,13.509431364110924,4.07146633,0.01132232,0.00010264,40.58041864,28.40052554,2.53242698,18.59090472,1.31359652,16.65622969,11.030101602490863
0.00000000,4.07525264,0.80643412,0.00199604,0.00000000,1,3.53354158,MS,0.00586986,0.01391422,0.03509614,1.30004466,0.39194263,0.00000000,0.00000000,12.00000000,0.00700455,1.59063500,10.32011220,0.02091877,1.11855739,0.03315893,0.58810924,6.83719068,15.872759236662933,0.05648831,0.00830408,0.26420779,0.07861630,13.858847783978618,0.92619378,0.32061923,0.04352016,38.05946825,0.02378763,41.50648315,0.00143026,12.44738767857561,13.228739229858476,4.07525264,0.01130851,0.00010286,40.39580247,28.14682203,2.53896192,18.26882622,1.29809626,16.61237565,10.818984532068509
0.00000000,4.08047132,0.80752057,0.00199998,0.00000000,1,3.53193282,MS,0.00576220,0.01395304,0.03509533,1.30676791,0.38978091,0.00000000,0.00000000,13.00000000,0.00702042,1.59296597,10.30674283,0.02097345,0.99019433,0.03313125,0.58827758,6.82793952,15.709841811461478,0.05662576,0.00821592,0.26097528,0.07855592,13.535593713884644,0.92737985,0.33554698,0.04346060,37.87926248,0.02379408,41.35921178,0.00143205,12.262416182485518,12.966794075382277,4.08047132,0.01130125,0.00010302,40.23861355,27.91662403,2.54593641,17.96636400,1.28181787,16.56576067,10.625025677043123
0.00000000,4.08516830,0.80837263,0.00200323,0.00000000,1,3.52943160,MS,0.00565220,0.01398752,0.03508427,1.31327347,0.38737304,0.00000000,0.00000000,14.00000000,0.00703629,1.59505202,10.29477997,0.02102381,0.98854662,0.03309953,0.58834257,6.81727731,15.541625922967626,0.05675777,0.00812611,0.25777647,0.07848538,13.215158462172797,0.92844734,0.34703539,0.04340111,37.69350956,0.02379125,41.20726677,0.00143325,12.076384281741461,12.706107472937125,4.08516830,0.01129302,0.00010330,40.07624877,27.68363793,2.55235654,17.66579056,1.26484594,16.52310822,10.431533424305062
0.00000000,4.08998500,0.80916813,0.00200638,0.00000000,1,3.52695503,MS,0.00554319,0.01402031,0.03507211,1.31953546,0.38489286,0.00000000,0.00000000,15.00000000,0.00705216,1.59693049,10.28251451,0.02107247,0.96575977,0.03306819,0.58837913,6.80719466,15.373302409542767,0.05688690,0.00803795,0.25460193,0.07841552,12.90094529815049,0.92954205,0.35676222,0.04334341,37.51070057,0.02378672,41.05825162,0.00143444,11.892252387201504,12.44979753274752,4.08998500,0.01128539,0.00010345,39.91673214,27.45453010,2.55864610,17.37051332,1.24712872,16.48155684,10.240700317930012
0.00000000,4.09484476,0.80994937,0.00200943,0.00000000,1,3.52441212,MS,0.00543373,0.01405297,0.03505962,1.32558521,0.38233820,0.00000000,0.00000000,16.00000000,0.00706804,1.59859731,10.27016337,0.02112101,0.96178948,0.03303704,0.58843260,6.79719951,15.203062097337131,0.05701468,0.00795058,0.25144855,0.07834580,12.590583177967666,0.93064654,0.36393954,0.04328618,37.32533920,0.02378227,40.90990198,0.00143564,11.707524932904235,12.195416063073845,4.09484476,0.01127735,0.00010360,39.75688431,27.22688980,2.56482431,17.07822860,1.22865038,16.44098393,10.04997142620381
0.00000000,4.09987399,0.81061896,0.00201240,0.00000000,1,3.52205718,MS,0.00532847,0.01408148,0.03504521,1.33137378,0.37981009,0.00000000,0.00000000,17.00000000,0.00708392,1.60011890,10.25735613,0.02116541,0.90986768,0.03300667,0.58839222,6.78848086,15.038615850577502,0.05713700,0.00786640,0.24830557,0.07827787,12.29042674339058,0.93178954,0.37147756,0.04323266,37.15381359,0.02377337,40.76782901,0.00143681,11.52966479665104,11.949831581711903,4.09987399,0.01127184,0.00010373,39.60542754,27.00746722,2.57083874,16.79532174,1.20937027,16.40166515,9.865940431737902
0.34346616,4.10415936,0.81127772,0.00201527,0.00000000,1,3.51964657,MS,0.00522551,0.01410992,0.03503166,1.33744347,0.46998827,-0.15326980,0.34346616,18.00000000,0.00709981,1.60207817,10.24783401,0.02120973,0.99909883,0.03297950,0.58837219,6.77875438,14.8702191314053,0.05725787,0.00778604,0.24518542,0.07821252,11.99290992283377,0.93276349,0.37656319,0.04318085,36.98408616,0.02376497,40.62724625,0.00143776,11.347743785645745,11.703937720248806,4.10415936,0.01126669,0.00010918,39.45555289,26.79192970,2.57666533,16.51821437,1.18934167,16.36476788,9.677779583285353
7.67798458,4.09575392,0.81417513,0.00201806,0.00000000,1,3.51718272,MS,0.00518560,0.01413809,0.03514540,1.34034976,1.12315216,7.51363950,7.67798458,19.00000000,0.00711570,1.60170218,10.27537269,0.02125380,1.64925855,0.03303171,0.58836865,6.77276158,14.727531993445101,0.05737706,0.00778580,0.24236545,0.07831227,11.780484489893709,0.93085316,0.45060484,0.04316688,36.93155067,0.02386289,40.75279892,0.00143947,11.426534578443363,11.621636972821246,4.09575392,0.01128251,0.00032994,39.52608745,26.73298923,2.57693464,16.31716683,1.16882164,16.36808332,9.865804578746875
