LAI_turgor,mstruct,Total_Transpiration_turgor,xylem_water_potential,Tr,plant_WC_DM,total_water_influx,plant,plant_water_content,delta_plant_water_content,Growth,axis,t,green_area
0.00000000,0.05983317,0.00693242,-0.03393639,NA,90.28528392,0.00694560,1,0.50819024,0.00021822,0.00020503,MS,38,0.00121687
0.00000000,0.05996886,0.00694255,-0.03393719,NA,90.28776289,0.00694167,1,0.50833391,0.00020195,0.00020283,MS,39,0.00121822
0.00000000,0.06010396,0.00695234,-0.03393697,NA,90.29026337,0.00695148,1,0.50847890,0.00019989,0.00020075,MS,40,0.00121954
0.00000000,0.06023903,0.00696212,-0.03393724,NA,90.29277502,0.00696128,1,0.50862461,0.00019786,0.00019870,MS,41,0.00122086
0.00000000,0.06037334,0.00733106,-0.03393752,NA,90.29526863,0.00733023,1,0.50876935,0.00019634,0.00019717,MS,42,0.00122220
0.00000000,0.06050591,0.02223150,-0.03395075,NA,90.29677263,0.02223066,1,0.50885669,0.00019474,0.00019559,MS,43,0.00122353
0.00000000,0.06064083,0.03015930,-0.03448711,NA,90.30140177,0.03020459,1,0.50912566,0.00024016,0.00019487,MS,44,0.00122479
0.00000000,0.06077244,0.05768332,-0.03477414,NA,90.30391033,0.05768239,1,0.50927153,0.00019349,0.00019441,MS,45,0.00122633
0.00000000,0.06090672,0.07635962,-0.03576333,NA,90.30972685,0.07635862,1,0.50961004,0.00019403,0.00019503,MS,46,0.00122764
0.00000000,0.06104054,0.08480737,-0.03643570,NA,90.31650177,0.08484331,1,0.51000484,0.00023337,0.00019744,MS,47,0.00122919
0.00000000,0.06117578,0.10091678,-0.03674123,NA,90.32182262,0.10091557,1,0.51031529,0.00019905,0.00020026,MS,48,0.00123072
0.00000000,0.06131247,0.12229364,-0.03731993,NA,90.32680925,0.12229229,1,0.51060655,0.00020150,0.00020285,MS,49,0.00123223
0.00000000,0.06145376,0.09890874,-0.03808959,NA,90.33610230,0.09890732,1,0.51115015,0.00020417,0.00020559,MS,50,0.00123374
0.00000000,0.06159845,0.08393913,-0.03724783,NA,90.34289149,0.08395274,1,0.51154794,0.00022317,0.00020957,MS,51,0.00123549
0.00000000,0.06174537,0.06322080,-0.03670961,NA,90.34945313,0.06321926,1,0.51193293,0.00021014,0.00021168,MS,52,0.00123720
0.00000000,0.06189505,0.03168243,-0.03596328,NA,90.35591678,0.03177592,1,0.51231269,0.00030729,0.00021381,MS,53,0.00123889
0.00000000,0.06204578,0.01827139,-0.03483139,NA,90.35839663,0.01832217,1,0.51245852,0.00026504,0.00021425,MS,54,0.00124060
0.00000000,0.06219675,0.01044065,-0.03434707,NA,90.35978857,0.01043914,1,0.51254041,0.00021175,0.00021326,MS,55,0.00124213
0.00000000,0.06234884,0.00713483,-0.03406325,NA,90.36042806,0.00713336,1,0.51257804,0.00020928,0.00021074,MS,56,0.00124359
0.00000000,0.06250046,0.00714548,-0.03394415,NA,90.36194562,0.00717267,1,0.51266736,0.00023570,0.00020851,MS,57,0.00124502
0.00000000,0.06265281,0.00715617,-0.03394549,NA,90.36375017,0.00715478,1,0.51277360,0.00020427,0.00020566,MS,58,0.00124645
0.00000000,0.06280507,0.00717316,-0.03394474,NA,90.36572674,0.00724750,1,0.51289002,0.00027833,0.00020398,MS,59,0.00124792
0.00000000,0.06295717,0.00718417,-0.03394802,NA,90.36781008,0.00723994,1,0.51301278,0.00025716,0.00020139,MS,60,0.00124939
0.00000000,0.06310994,0.00719508,-0.03394765,NA,90.36996420,0.00721229,1,0.51313977,0.00021581,0.00019860,MS,61,0.00125086
0.00000000,0.06326122,0.00720600,-0.03394656,NA,90.37216220,0.00726945,1,0.51326940,0.00026031,0.00019687,MS,62,0.00125235
0.00000000,0.06341207,0.00720876,-0.03394855,NA,90.37439794,0.00721841,1,0.51340132,0.00020368,0.00019403,MS,63,0.00125380
0.00000000,0.06356242,0.00721951,-0.03394661,NA,90.37666211,0.00722581,1,0.51353498,0.00019875,0.00019245,MS,64,0.00125525
0.00000000,0.06370990,0.00723019,-0.03394682,NA,90.37894276,0.00728297,1,0.51366967,0.00024438,0.00019159,MS,65,0.00125668
0.00000000,0.06385841,0.00761681,-0.03394885,NA,90.38121602,0.00766480,1,0.51380399,0.00023811,0.00019011,MS,66,0.00125801
0.00000000,0.06400653,0.02324865,-0.03396254,NA,90.38248041,0.02326524,1,0.51387873,0.00020488,0.00018829,MS,67,0.00125941
0.00000000,0.06415515,0.03159959,-0.03452409,NA,90.38688141,0.03161644,1,0.51413902,0.00020354,0.00018669,MS,68,0.00126079
0.00000000,0.06430172,0.06066840,-0.03482468,NA,90.38910385,0.06070788,1,0.51427056,0.00022561,0.00018613,MS,69,0.00126236
0.00000000,0.06445049,0.08038156,-0.03587195,NA,90.39462480,0.08039880,1,0.51459758,0.00020292,0.00018567,MS,70,0.00126375
0.00000000,0.06459951,0.08931514,-0.03658080,NA,90.40111227,0.08932784,1,0.51498233,0.00019970,0.00018700,MS,71,0.00126536
0.00000000,0.06475043,0.10635175,-0.03690230,NA,90.40616324,0.10635243,1,0.51528225,0.00018974,0.00018906,MS,72,0.00126698
0.00000000,0.06490256,0.12881665,-0.03751526,NA,90.41086146,0.12884831,1,0.51556150,0.00022352,0.00019186,MS,73,0.00126860
0.00000000,0.06505844,0.10409221,-0.03832521,NA,90.41993394,0.10410231,1,0.51610153,0.00020401,0.00019391,MS,74,0.00127021
0.00000000,0.06521810,0.08828729,-0.03743443,NA,90.42647644,0.08829621,1,0.51649160,0.00020626,0.00019734,MS,75,0.00127204
0.00000000,0.06537956,0.06648538,-0.03686553,NA,90.43276284,0.06652662,1,0.51686691,0.00024131,0.00020007,MS,76,0.00127385
0.00000000,0.06554406,0.03316502,-0.03608192,NA,90.43902652,0.03322834,1,0.51724134,0.00026521,0.00020189,MS,77,0.00127565
0.00000000,0.06570829,0.01901848,-0.03488325,NA,90.44121986,0.01904949,1,0.51737258,0.00023263,0.00020162,MS,78,0.00127749
0.00000000,0.06587295,0.01080417,-0.03437280,NA,90.44228586,0.01082724,1,0.51743638,0.00022297,0.00019989,MS,79,0.00127911
0.00000000,0.06603760,0.00738926,-0.03407674,NA,90.44260016,0.00741291,1,0.51745519,0.00022109,0.00019743,MS,80,0.00128067
0.00000000,0.06620232,0.00740043,-0.03395374,NA,90.44379126,0.00745167,1,0.51752651,0.00024685,0.00019561,MS,81,0.00128217
0.00000000,0.06636697,0.00741183,-0.03395507,NA,90.44527742,0.00743976,1,0.51761551,0.00022062,0.00019270,MS,82,0.00128370
0.00000000,0.06653078,0.00742323,-0.03395453,NA,90.44694815,0.00743631,1,0.51771560,0.00020309,0.00019001,MS,83,0.00128523
0.00000000,0.06669497,0.00743439,-0.03395431,NA,90.44873073,0.00745066,1,0.51782243,0.00020409,0.00018782,MS,84,0.00128673
0.00000000,0.06685816,0.00744570,-0.03395475,NA,90.45058226,0.00748773,1,0.51793343,0.00022828,0.00018625,MS,85,0.00128825
0.00000000,0.06702240,0.00745674,-0.03395603,NA,90.45248866,0.00749222,1,0.51804776,0.00021949,0.00018402,MS,86,0.00128973
0.00000000,0.06718398,0.00746764,-0.03395611,NA,90.45442439,0.00749890,1,0.51816391,0.00021304,0.00018177,MS,87,0.00129126
0.00000000,0.06734501,0.00747832,-0.03395627,NA,90.45638666,0.00750054,1,0.51828169,0.00020179,0.00017957,MS,88,0.00129269
0.00000000,0.06750543,0.00748892,-0.03395625,NA,90.45836226,0.00750863,1,0.51840032,0.00019728,0.00017757,MS,89,0.00129412
0.00000000,0.06766518,0.00788895,-0.03395647,NA,90.46031152,0.00790795,1,0.51851742,0.00019466,0.00017566,MS,90,0.00129553
0.00000000,0.06782455,0.02406382,-0.03397077,NA,90.46126756,0.02408572,1,0.51857487,0.00019657,0.00017467,MS,91,0.00129693
0.00000000,0.06798401,0.03275702,-0.03455314,NA,90.46538076,0.03277743,1,0.51882217,0.00019374,0.00017332,MS,92,0.00129831
0.00000000,0.06814275,0.06289778,-0.03486599,NA,90.46727191,0.06289964,1,0.51893595,0.00017391,0.00017206,MS,93,0.00129987
0.00000000,0.06830395,0.08327320,-0.03595034,NA,90.47246668,0.08328679,1,0.51924870,0.00018621,0.00017262,MS,94,0.00130129
0.00000000,0.06846684,0.09253561,-0.03668430,NA,90.47862921,0.09255192,1,0.51962017,0.00019066,0.00017436,MS,95,0.00130292
0.00000000,0.06863043,0.11034846,-0.03701791,NA,90.48336689,0.11034719,1,0.51990607,0.00017499,0.00017626,MS,96,0.00130464
0.00000000,0.06879453,0.13366841,-0.03765861,NA,90.48779063,0.13368477,1,0.52017329,0.00019561,0.00017925,MS,97,0.00130630
0.00000000,0.06896342,0.10799312,-0.03849887,NA,90.49659922,0.10801892,1,0.52070612,0.00020790,0.00018210,MS,98,0.00130792
0.00000000,0.06913237,0.09157806,-0.03757500,NA,90.50288539,0.09158652,1,0.52108697,0.00019363,0.00018517,MS,99,0.00130981
0.00000000,0.06930559,0.06890170,-0.03698354,NA,90.50891629,0.06894208,1,0.52145283,0.00022879,0.00018841,MS,100,0.00131155
0.00000000,0.06948167,0.03434876,-0.03616846,NA,90.51489317,0.03436837,1,0.52181587,0.00020908,0.00018947,MS,101,0.00131336
0.00000000,0.06965706,0.01970635,-0.03492385,NA,90.51682824,0.01972616,1,0.52193351,0.00020964,0.00018982,MS,102,0.00131522
0.00000000,0.06983254,0.01121713,-0.03439674,NA,90.51762519,0.01124580,1,0.52198197,0.00021733,0.00018866,MS,103,0.00131686
0.00000000,0.07000861,0.00766930,-0.03409140,NA,90.51766513,0.00768145,1,0.52198440,0.00019802,0.00018586,MS,104,0.00131843
0.00000000,0.07018471,0.00768065,-0.03396299,NA,90.51861294,0.00770995,1,0.52204204,0.00021355,0.00018425,MS,105,0.00131996
0.00000000,0.07036069,0.00769225,-0.03396395,NA,90.51985064,0.00771324,1,0.52211734,0.00020269,0.00018170,MS,106,0.00132152
0.00000000,0.07053650,0.00770384,-0.03396398,NA,90.52126716,0.00771605,1,0.52220354,0.00019142,0.00017921,MS,107,0.00132308
0.00000000,0.07071137,0.00771528,-0.03396399,NA,90.52280318,0.00772880,1,0.52229704,0.00019069,0.00017717,MS,108,0.00132464
0.00000000,0.07088589,0.00772659,-0.03396438,NA,90.52441633,0.00775345,1,0.52239526,0.00020257,0.00017571,MS,109,0.00132617
0.00000000,0.07105937,0.00773784,-0.03396521,NA,90.52608388,0.00775733,1,0.52249684,0.00019299,0.00017351,MS,110,0.00132768
0.00000000,0.07123240,0.00774882,-0.03396527,NA,90.52779001,0.00776291,1,0.52260080,0.00018551,0.00017143,MS,111,0.00132916
0.00000000,0.07140741,0.00776033,-0.03396540,NA,90.52952034,0.00777262,1,0.52270627,0.00018183,0.00016954,MS,112,0.00133063
0.00000000,0.07158000,0.00777148,-0.03396568,NA,90.53125815,0.00778999,1,0.52281224,0.00018651,0.00016800,MS,113,0.00133218
0.00000000,0.07175129,0.00818215,-0.03396625,NA,90.53297630,0.00819409,1,0.52291705,0.00017791,0.00016597,MS,114,0.00133365
0.00000000,0.07192207,0.02484249,-0.03398073,NA,90.53370109,0.02485726,1,0.52296127,0.00017927,0.00016450,MS,115,0.00133509
0.00000000,0.07209253,0.03379265,-0.03458055,NA,90.53761105,0.03380044,1,0.52319996,0.00017094,0.00016315,MS,116,0.00133649
0.00000000,0.07226234,0.06478362,-0.03490245,NA,90.53929394,0.06478685,1,0.52330275,0.00016571,0.00016248,MS,117,0.00133805
0.00000000,0.07243435,0.08566887,-0.03601794,NA,90.54425499,0.08567191,1,0.52360600,0.00016597,0.00016292,MS,118,0.00133948
0.00000000,0.07260892,0.09517133,-0.03676982,NA,90.55018414,0.09518411,1,0.52396884,0.00017805,0.00016527,MS,119,0.00134110
0.00000000,0.07278427,0.11322388,-0.03711234,NA,90.55473872,0.11323767,1,0.52424787,0.00018170,0.00016791,MS,120,0.00134284
