t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
4,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03651864,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32154923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.49995589,NA,NA,NA,NA
5,1,MS,roots,0.03225870,0.00000000,0.06865617,0.17405501,0.02354175,1.49109683,NA,0.00000000,0.00017501,NA,0.10211372,0.11940784,NA,NA,NA,0.06743611,1.11400041,NA,1.47505804,NA,1.30304352,NA,NA,13.42439430,NA,NA,0.00000000,-21.93665201,0.30077541,NA,NA,0.92350587,8.53286420,0.00009032,NA,0.03496309,21.07119234,NA,0.00000000,0.00045891,0.00000000,NA,NA,NA,123.95084094,3.23490235,0.28895766,NA,NA
5,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03582093,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36321047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.47309996,NA,NA,NA,NA
6,1,MS,roots,0.03189589,0.78409015,0.03869782,0.10071820,0.01358238,1.49078902,NA,0.00596191,0.00017546,NA,0.10197905,0.11604090,NA,NA,NA,0.06642443,1.10147145,NA,1.46935950,NA,1.29687593,NA,NA,13.43837071,NA,NA,0.15076323,3.92045074,0.29229446,NA,NA,0.90558640,8.56476487,0.00008931,NA,0.03505240,21.21259813,NA,0.00000000,0.00026378,0.00000000,NA,NA,NA,119.09972543,3.19851999,0.28444438,NA,NA
6,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03475596,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28956598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.58739518,NA,NA,NA,NA
7,1,MS,roots,0.03157726,3.51146837,0.02240204,0.05758807,0.00773588,1.48877178,NA,0.02826711,0.00017590,NA,0.10186177,0.11286926,NA,NA,NA,0.06563549,1.09046801,NA,1.46397699,NA,1.29070207,NA,NA,13.48884813,NA,NA,0.66802621,17.55734183,0.28430544,NA,NA,0.92448656,8.60238747,0.00008842,NA,0.03514081,21.38888287,NA,0.00000000,0.00014958,0.00000000,NA,NA,NA,114.84390198,3.16656752,0.28036652,NA,NA
7,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03430155,NA
