t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
115,352,7,13,0,10,0.75,400,3,80,81.76190476
116,352,8,13,0,10,0.75,400,3,80,138.2698413
117,352,9,13,56.11111111,10,0.75,400,3,80,338.6666667
118,352,10,13,168.3333333,10,0.75,400,3,80,474.3333333
119,352,11,13,314.2222222,10,0.75,400,3,80,535.650794
120,352,12,13,303,10,0.75,400,3,80,649.476191
121,352,13,13,224.4444444,10,0.75,400,3,80,795.968254
122,352,14,13,190.7777778,10,0.75,400,3,80,635.650793
123,352,15,13,101,10,0.75,400,3,80,529.4444444
124,352,16,13,33.66666667,10,0.75,400,3,80,379.3492063
125,352,17,13,0,10,0.75,400,3,80,148.4920635
126,352,18,13,0,10,0.75,400,3,80,52.9047619
127,352,19,13,0,10,0.75,400,3,80,0
128,352,20,7,0,10,0.75,400,3,80,0
129,352,21,7,0,10,0.75,400,3,80,0
130,352,22,7,0,10,0.75,400,3,80,0
131,352,23,7,0,10,0.75,400,3,80,0
132,352,24,7,0,10,0.75,400,3,80,0
133,353,1,7,0,10,0.75,400,3,80,0
134,353,2,7,0,10,0.75,400,3,80,0
135,353,3,7,0,10,0.75,400,3,80,0
136,353,4,7,0,10,0.75,400,3,80,0
137,353,5,7,0,10,0.75,400,3,80,0
138,353,6,7,0,10,0.75,400,3,80,3.206349206
139,353,7,13,0,10,0.75,400,3,80,81.76190476
140,353,8,13,0,10,0.75,400,3,80,138.2698413
141,353,9,13,157.1111111,10,0.75,400,3,80,338.6666667
142,353,10,13,392.7777778,10,0.75,400,3,80,474.3333333
143,353,11,13,538.6666667,10,0.75,400,3,80,535.650794
144,353,12,13,516.2222222,10,0.75,400,3,80,649.476191
145,353,13,13,336.6666667,10,0.75,400,3,80,795.968254
146,353,14,13,336.6666667,10,0.75,400,3,80,635.650793
147,353,15,13,179.5555556,10,0.75,400,3,80,529.4444444
148,353,16,13,44.88888889,10,0.75,400,3,80,379.3492063
149,353,17,13,0,10,0.75,400,3,80,148.4920635
150,353,18,13,0,10,0.75,400,3,80,52.9047619
151,353,19,13,0,10,0.75,400,3,80,0
152,353,20,7,0,10,0.75,400,3,80,0
153,353,21,7,0,10,0.75,400,3,80,0
154,353,22,7,0,10,0.75,400,3,80,0
155,353,23,7,0,10,0.75,400,3,80,0
156,353,24,7,0,10,0.75,400,3,80,0
157,354,1,7,0,10,0.75,400,3,80,0
158,354,2,7,0,10,0.75,400,3,80,0
159,354,3,7,0,10,0.75,400,3,80,0
160,354,4,7,0,10,0.75,400,3,80,0
161,354,5,7,0,10,0.75,400,3,80,0
162,354,6,7,0,10,0.75,400,3,80,3.206349206
163,354,7,13,0,10,0.75,400,3,80,81.76190476
164,354,8,13,0,10,0.75,400,3,80,138.2698413
165,354,9,13,112.2222222,10,0.75,400,3,80,338.6666667
166,354,10,13,370.3333333,10,0.75,400,3,80,474.3333333
167,354,11,13,448.8888889,10,0.75,400,3,80,535.650794
168,354,12,13,516.2222222,10,0.75,400,3,80,649.476191
169,354,13,13,572.3333333,10,0.75,400,3,80,795.968254
170,354,14,13,404,10,0.75,400,3,80,635.650793
171,354,15,13,224.4444444,10,0.75,400,3,80,529.4444444
172,354,16,13,67.33333333,10,0.75,400,3,80,379.3492063
173,354,17,13,0,10,0.75,400,3,80,148.4920635
174,354,18,13,0,10,0.75,400,3,80,52.9047619
175,354,19,13,0,10,0.75,400,3,80,0
176,354,20,7,0,10,0.75,400,3,80,0
177,354,21,7,0,10,0.75,400,3,80,0
178,354,22,7,0,10,0.75,400,3,80,0
179,354,23,7,0,10,0.75,400,3,80,0
180,354,24,7,0,10,0.75,400,3,80,0
181,355,1,7,0,10,0.75,400,3,80,0
182,355,2,7,0,10,0.75,400,3,80,0
183,355,3,7,0,10,0.75,400,3,80,0
184,355,4,7,0,10,0.75,400,3,80,0
185,355,5,7,0,10,0.75,400,3,80,0
186,355,6,7,0,10,0.75,400,3,80,3.206349206
187,355,7,13,0,10,0.75,400,3,80,81.76190476
188,355,8,13,0,10,0.75,400,3,80,138.2698413
189,355,9,13,33.66666667,10,0.75,400,3,80,338.6666667
190,355,10,13,89.77777778,10,0.75,400,3,80,474.3333333
191,355,11,13,157.1111111,10,0.75,400,3,80,535.650794
