N_content_shoot,plant,N_content,NS_roots,sum_respi_shoot,C_respired_roots,sum_NSC_g,mstruct_shoot,mstruct_stem,C_respired_shoot,C_N_ratio_shoot,NS_laminae,N_content_mstruct_shoot,sum_dry_mass,Cont_WSC_DM_roots,Total_Transpiration,dry_mass_phloem,Cont_WSC_DM,NNI,C_N_ratio,shoot_roots_ratio,N_content_mstruct,Cont_WSC_DM_stem,sum_N_g_shoot,shoot_roots_mstruct_ratio,Total_Photosynthesis,NS_shoot,C_exudated,mstruct,sum_respi_roots,NS_stem,sum_N_g,NS,N_content_total_DM_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_C_g,Tillers_Photosynthesis_An,sum_dry_mass_stem,sum_dry_mass_shoot,axis,Cont_WSC_DM_laminae,mstruct_laminae,t,Cont_WSC_DM_shoot,sum_dry_mass_roots,N_content_roots,senesced_mstruct,N_content_mstruct_roots
4.06714014,1,2.52601773,18.88522620,0.39682231,1.32858139,0.00848936,0.02082119,0.00697287,0.70708025,10.34079751,41.82411023,6.86103612,0.07876713,14.520922437786806,0.00010252,0.00608491,13.758352581020835,0.92435003,16.69977584,0.80480729,3.53895092,16.175455337994716,0.00142855,0.58815443,0.00000000,40.72119616,0.28268388,0.05622207,0.27078467,38.40192617,0.00198967,28.62241418,4.06714014,0.02380422,0.00000000,0.03322707,0.00000000,0.01131995,0.03512417,MS,11.210809756007265,0.01384832,10.00000000,12.810834009958066,0.04364296,1.28571118,0.00000000,1.58505180
4.07146633,1,2.53242698,18.59090472,0.39454865,1.31359652,0.00840231,0.02086022,0.00698869,0.88527450,10.32962713,41.67784694,6.85206162,0.07869601,14.203065730288431,0.00010264,0.00598970,13.509431364110924,0.92533326,16.65622969,0.80539466,3.53693516,16.047258428650164,0.00142936,0.58784849,0.00000000,40.58041864,0.30953149,0.05634593,0.26746706,38.27509743,0.00199292,28.40052554,4.07146633,0.02378432,0.00000000,0.03319452,0.00000000,0.01132232,0.03510664,MS,11.030101602490863,0.01387153,11.00000000,12.648195993025228,0.04358937,1.29289292,0.00000000,1.58814309
4.07525264,1,2.53896192,18.26882622,0.39194263,1.29809626,0.00830408,0.02091877,0.00700455,1.11855739,10.32011220,41.50648315,6.83719068,0.07861630,13.858847783978618,0.00010286,0.00586986,13.228739229858476,0.92619378,16.61237565,0.80643412,3.53354158,15.872759236662933,0.00143026,0.58810924,0.00000000,40.39580247,0.32061923,0.05648831,0.26420779,38.05946825,0.00199604,28.14682203,4.07525264,0.02378763,0.00000000,0.03315893,0.00000000,0.01130851,0.03509614,MS,10.818984532068509,0.01391422,12.00000000,12.44738767857561,0.04352016,1.30004466,0.00000000,1.59063500
4.08047132,1,2.54593641,17.96636400,0.38978091,1.28181787,0.00821592,0.02097345,0.00702042,0.99019433,10.30674283,41.35921178,6.82793952,0.07855592,13.535593713884644,0.00010302,0.00576220,12.966794075382277,0.92737985,16.56576067,0.80752057,3.53193282,15.709841811461478,0.00143205,0.58827758,0.00000000,40.23861355,0.33554698,0.05662576,0.26097528,37.87926248,0.00199998,27.91662403,4.08047132,0.02379408,0.00000000,0.03313125,0.00000000,0.01130125,0.03509533,MS,10.625025677043123,0.01395304,13.00000000,12.262416182485518,0.04346060,1.30676791,0.00000000,1.59296597
4.08516830,1,2.55235654,17.66579056,0.38737304,1.26484594,0.00812611,0.02102381,0.00703629,0.98854662,10.29477997,41.20726677,6.81727731,0.07848538,13.215158462172797,0.00010330,0.00565220,12.706107472937125,0.92844734,16.52310822,0.80837263,3.52943160,15.541625922967626,0.00143325,0.58834257,0.00000000,40.07624877,0.34703539,0.05675777,0.25777647,37.69350956,0.00200323,27.68363793,4.08516830,0.02379125,0.00000000,0.03309953,0.00000000,0.01129302,0.03508427,MS,10.431533424305062,0.01398752,14.00000000,12.076384281741461,0.04340111,1.31327347,0.00000000,1.59505202
4.08998500,1,2.55864610,17.37051332,0.38489286,1.24712872,0.00803795,0.02107247,0.00705216,0.96575977,10.28251451,41.05825162,6.80719466,0.07841552,12.90094529815049,0.00010345,0.00554319,12.44979753274752,0.92954205,16.48155684,0.80916813,3.52695503,15.373302409542767,0.00143444,0.58837913,0.00000000,39.91673214,0.35676222,0.05688690,0.25460193,37.51070057,0.00200638,27.45453010,4.08998500,0.02378672,0.00000000,0.03306819,0.00000000,0.01128539,0.03507211,MS,10.240700317930012,0.01402031,15.00000000,11.892252387201504,0.04334341,1.31953546,0.00000000,1.59693049
4.09484476,1,2.56482431,17.07822860,0.38233820,1.22865038,0.00795058,0.02112101,0.00706804,0.96178948,10.27016337,40.90990198,6.79719951,0.07834580,12.590583177967666,0.00010360,0.00543373,12.195416063073845,0.93064654,16.44098393,0.80994937,3.52441212,15.203062097337131,0.00143564,0.58843260,0.00000000,39.75688431,0.36393954,0.05701468,0.25144855,37.32533920,0.00200943,27.22688980,4.09484476,0.02378227,0.00000000,0.03303704,0.00000000,0.01127735,0.03505962,MS,10.04997142620381,0.01405297,16.00000000,11.707524932904235,0.04328618,1.32558521,0.00000000,1.59859731
4.09987399,1,2.57083874,16.79532174,0.37981009,1.20937027,0.00786640,0.02116541,0.00708392,0.90986768,10.25735613,40.76782901,6.78848086,0.07827787,12.29042674339058,0.00010373,0.00532847,11.949831581711903,0.93178954,16.40166515,0.81061896,3.52205718,15.038615850577502,0.00143681,0.58839222,0.00000000,39.60542754,0.37147756,0.05713700,0.24830557,37.15381359,0.00201240,27.00746722,4.09987399,0.02377337,0.00000000,0.03300667,0.00000000,0.01127184,0.03504521,MS,9.865940431737902,0.01408148,17.00000000,11.52966479665104,0.04323266,1.33137378,0.00000000,1.60011890
4.10415936,1,2.57666533,16.51821437,0.46998827,1.18934167,0.00778604,0.02120973,0.00709981,0.99909883,10.24783401,40.62724625,6.77875438,0.07821252,11.99290992283377,0.00010918,0.00522551,11.703937720248806,0.93276349,16.36476788,0.81127772,3.51964657,14.8702191314053,0.00143776,0.58837219,0.34346616,39.45555289,0.37656319,0.05725787,0.24518542,36.98408616,0.00201527,26.79192970,4.10415936,0.02376497,0.34346616,0.03297950,-0.15326980,0.01126669,0.03503166,MS,9.677779583285353,0.01410992,18.00000000,11.347743785645745,0.04318085,1.33744347,0.00000000,1.60207817
4.09575392,1,2.57693464,16.31716683,1.12315216,1.16882164,0.00778580,0.02125380,0.00711570,1.64925855,10.27537269,40.75279892,6.77276158,0.07831227,11.780484489893709,0.00032994,0.00518560,11.621636972821246,0.93085316,16.36808332,0.81417513,3.51718272,14.727531993445101,0.00143947,0.58836865,7.67798458,39.52608745,0.45060484,0.05737706,0.24236545,36.93155067,0.00201806,26.73298923,4.09575392,0.02386289,7.67798458,0.03303171,7.51363950,0.01128251,0.03514540,MS,9.865804578746875,0.01413809,19.00000000,11.426534578443363,0.04316688,1.34034976,0.00000000,1.60170218
