t,plant,axis,water_content,SRWC,water_potential
106,1,MS,80.00000000,80.00000000,-0.03367976
107,1,MS,80.00000000,80.00000000,-0.03367976
108,1,MS,80.00000000,80.00000000,-0.03367976
109,1,MS,80.00000000,80.00000000,-0.03367976
110,1,MS,80.00000000,80.00000000,-0.03367976
111,1,MS,80.00000000,80.00000000,-0.03367976
112,1,MS,80.00000000,80.00000000,-0.03367976
113,1,MS,80.00000000,80.00000000,-0.03367976
114,1,MS,80.00000000,80.00000000,-0.03367976
115,1,MS,80.00000000,80.00000000,-0.03367976
116,1,MS,80.00000000,80.00000000,-0.03367976
117,1,MS,80.00000000,80.00000000,-0.03367976
118,1,MS,80.00000000,80.00000000,-0.03367976
119,1,MS,80.00000000,80.00000000,-0.03367976
120,1,MS,80.00000000,80.00000000,-0.03367976
121,1,MS,80.00000000,80.00000000,-0.03367976
122,1,MS,80.00000000,80.00000000,-0.03367976
123,1,MS,80.00000000,80.00000000,-0.03367976
124,1,MS,80.00000000,80.00000000,-0.03367976
125,1,MS,80.00000000,80.00000000,-0.03367976
126,1,MS,80.00000000,80.00000000,-0.03367976
127,1,MS,80.00000000,80.00000000,-0.03367976
128,1,MS,80.00000000,80.00000000,-0.03367976
129,1,MS,80.00000000,80.00000000,-0.03367976
130,1,MS,80.00000000,80.00000000,-0.03367976
131,1,MS,80.00000000,80.00000000,-0.03367976
132,1,MS,80.00000000,80.00000000,-0.03367976
133,1,MS,80.00000000,80.00000000,-0.03367976
134,1,MS,80.00000000,80.00000000,-0.03367976
135,1,MS,80.00000000,80.00000000,-0.03367976
136,1,MS,80.00000000,80.00000000,-0.03367976
137,1,MS,80.00000000,80.00000000,-0.03367976
138,1,MS,80.00000000,80.00000000,-0.03367976
139,1,MS,80.00000000,80.00000000,-0.03367976
140,1,MS,80.00000000,80.00000000,-0.03367976
141,1,MS,80.00000000,80.00000000,-0.03367976
142,1,MS,80.00000000,80.00000000,-0.03367976
143,1,MS,80.00000000,80.00000000,-0.03367976
144,1,MS,80.00000000,80.00000000,-0.03367976
145,1,MS,80.00000000,80.00000000,-0.03367976
146,1,MS,80.00000000,80.00000000,-0.03367976
147,1,MS,80.00000000,80.00000000,-0.03367976
148,1,MS,80.00000000,80.00000000,-0.03367976
149,1,MS,80.00000000,80.00000000,-0.03367976
150,1,MS,80.00000000,80.00000000,-0.03367976
151,1,MS,80.00000000,80.00000000,-0.03367976
152,1,MS,80.00000000,80.00000000,-0.03367976
153,1,MS,80.00000000,80.00000000,-0.03367976
154,1,MS,80.00000000,80.00000000,-0.03367976
155,1,MS,80.00000000,80.00000000,-0.03367976
156,1,MS,80.00000000,80.00000000,-0.03367976
157,1,MS,80.00000000,80.00000000,-0.03367976
158,1,MS,80.00000000,80.00000000,-0.03367976
159,1,MS,80.00000000,80.00000000,-0.03367976
160,1,MS,80.00000000,80.00000000,-0.03367976
161,1,MS,80.00000000,80.00000000,-0.03367976
162,1,MS,80.00000000,80.00000000,-0.03367976
163,1,MS,80.00000000,80.00000000,-0.03367976
164,1,MS,80.00000000,80.00000000,-0.03367976
165,1,MS,80.00000000,80.00000000,-0.03367976
166,1,MS,80.00000000,80.00000000,-0.03367976
167,1,MS,80.00000000,80.00000000,-0.03367976
168,1,MS,80.00000000,80.00000000,-0.03367976
169,1,MS,80.00000000,80.00000000,-0.03367976
170,1,MS,80.00000000,80.00000000,-0.03367976
171,1,MS,80.00000000,80.00000000,-0.03367976
172,1,MS,80.00000000,80.00000000,-0.03367976
173,1,MS,80.00000000,80.00000000,-0.03367976
174,1,MS,80.00000000,80.00000000,-0.03367976
175,1,MS,80.00000000,80.00000000,-0.03367976
176,1,MS,80.00000000,80.00000000,-0.03367976
177,1,MS,80.00000000,80.00000000,-0.03367976
178,1,MS,80.00000000,80.00000000,-0.03367976
179,1,MS,80.00000000,80.00000000,-0.03367976
180,1,MS,80.00000000,80.00000000,-0.03367976
181,1,MS,80.00000000,80.00000000,-0.03367976
182,1,MS,80.00000000,80.00000000,-0.03367976
183,1,MS,80.00000000,80.00000000,-0.03367976
184,1,MS,80.00000000,80.00000000,-0.03367976
185,1,MS,80.00000000,80.00000000,-0.03367976
186,1,MS,80.00000000,80.00000000,-0.03367976
187,1,MS,80.00000000,80.00000000,-0.03367976
188,1,MS,80.00000000,80.00000000,-0.03367976
189,1,MS,80.00000000,80.00000000,-0.03367976
190,1,MS,80.00000000,80.00000000,-0.03367976
191,1,MS,80.00000000,80.00000000,-0.03367976
192,1,MS,80.00000000,80.00000000,-0.03367976
193,1,MS,80.00000000,80.00000000,-0.03367976
194,1,MS,80.00000000,80.00000000,-0.03367976
195,1,MS,80.00000000,80.00000000,-0.03367976
196,1,MS,80.00000000,80.00000000,-0.03367976
197,1,MS,80.00000000,80.00000000,-0.03367976
198,1,MS,80.00000000,80.00000000,-0.03367976
199,1,MS,80.00000000,80.00000000,-0.03367976
200,1,MS,80.00000000,80.00000000,-0.03367976
201,1,MS,80.00000000,80.00000000,-0.03367976
202,1,MS,80.00000000,80.00000000,-0.03367976
203,1,MS,80.00000000,80.00000000,-0.03367976
204,1,MS,80.00000000,80.00000000,-0.03367976
205,1,MS,80.00000000,80.00000000,-0.03367976
206,1,MS,80.00000000,80.00000000,-0.03367976
207,1,MS,80.00000000,80.00000000,-0.03367976
208,1,MS,80.00000000,80.00000000,-0.03367976
209,1,MS,80.00000000,80.00000000,-0.03367976
210,1,MS,80.00000000,80.00000000,-0.03367976
211,1,MS,80.00000000,80.00000000,-0.03367976
212,1,MS,80.00000000,80.00000000,-0.03367976
213,1,MS,80.00000000,80.00000000,-0.03367976
214,1,MS,80.00000000,80.00000000,-0.03367976
215,1,MS,80.00000000,80.00000000,-0.03367976
216,1,MS,80.00000000,80.00000000,-0.03367976
217,1,MS,80.00000000,80.00000000,-0.03367976
218,1,MS,80.00000000,80.00000000,-0.03367976
219,1,MS,80.00000000,80.00000000,-0.03367976
220,1,MS,80.00000000,80.00000000,-0.03367976
221,1,MS,80.00000000,80.00000000,-0.03367976
222,1,MS,80.00000000,80.00000000,-0.03367976
223,1,MS,80.00000000,80.00000000,-0.03367976
224,1,MS,80.00000000,80.00000000,-0.03367976
225,1,MS,80.00000000,80.00000000,-0.03367976
226,1,MS,80.00000000,80.00000000,-0.03367976
227,1,MS,80.00000000,80.00000000,-0.03367976
228,1,MS,80.00000000,80.00000000,-0.03367976
229,1,MS,80.00000000,80.00000000,-0.03367976
