t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
4,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03651843,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32209240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.57668791,NA,NA,NA,NA
5,1,MS,roots,0.03226322,0.00000000,0.06871349,0.17412170,0.02355071,1.49109725,NA,0.00000000,0.00017501,NA,0.10211850,0.11944860,NA,NA,NA,0.06744966,1.11415667,NA,1.47512613,NA,1.30311852,NA,NA,13.42482182,NA,NA,0.00000000,-21.97414546,0.30087809,NA,NA,0.92392420,8.53285333,0.00009034,NA,0.03496311,21.07122228,NA,0.00000000,0.00045908,0.00000000,NA,NA,NA,124.01463421,3.23535612,0.28901676,NA,NA
5,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03582057,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36337909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.48938545,NA,NA,NA,NA
6,1,MS,roots,0.03190060,0.75712770,0.03870913,0.10071019,0.01358120,1.49078507,NA,0.00575638,0.00017546,NA,0.10198362,0.11607709,NA,NA,NA,0.06643677,1.10163393,NA,1.46942363,NA,1.29695312,NA,NA,13.43872732,NA,NA,0.14556990,3.78563851,0.29238561,NA,NA,0.90592910,8.56475825,0.00008932,NA,0.03505244,21.21274080,NA,0.00000000,0.00026376,0.00000000,NA,NA,NA,119.15550574,3.19899182,0.28449747,NA,NA
6,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03475605,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29529206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.17828496,NA,NA,NA,NA
7,1,MS,roots,0.03158183,3.72095766,0.02244267,0.05758275,0.00773507,1.48876292,NA,0.02998799,0.00017590,NA,0.10186946,0.11292743,NA,NA,NA,0.06565420,1.09062572,NA,1.46408531,NA,1.29084264,NA,NA,13.49064064,NA,NA,0.70625755,18.60478829,0.28445196,NA,NA,0.92626060,8.60238579,0.00008843,NA,0.03514086,21.38914899,NA,0.00000000,0.00014956,0.00000000,NA,NA,NA,114.93190866,3.16702549,0.28045108,NA,NA
7,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03430121,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23731163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.14088198,NA,NA,NA,NA
8,1,MS,roots,0.03127587,4.94206951,0.01595796,0.03972244,0.00531435,1.48620045,NA,0.04288877,0.00017634,NA,0.10175034,0.10986998,NA,NA,NA,0.06506691,1.08006018,NA,1.45873803,NA,1.28424564,NA,NA,13.55873271,NA,NA,0.93562656,24.71034753,0.27675057,NA,NA,0.96307680,8.64230264,0.00008757,NA,0.03522844,21.57555904,NA,0.00000000,0.00010228,0.00000000,NA,NA,NA,110.97527045,3.13634463,0.27668722,NA,NA
8,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03403542,NA
