R_Nnit_upt,R_grain_growth_starch,Conc_Nitrates,AA_consumption_mstruct,Proteins_N_Mass,S_grain_starch,HATS_LATS,N_exudation,Export_Amino_Acids,C_exudation,Conc_Sucrose,age_from_flowering,sucrose,cytokinins,Nstruct,RGR_Structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Export_cytokinins,Unloading_Sucrose,S_Amino_Acids,structure,sum_respi,sucrose_consumption_mstruct,t,nitrates,WSC_g,axis,regul_transpiration,S_Proteins,mstruct,S_cytokinins,Export_Nitrates,Uptake_Nitrates,plant,amino_acids,S_grain_structure,Conc_Amino_Acids,R_grain_growth_struct,Respi_growth,Conc_cytokinins,Dry_Mass,starch,senesced_mstruct,organ,proteins,synthetized_mstruct,N_tot,R_residual,R_Nnit_red
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.29270418027846,NA,208.97388531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00000000,NA,0.0059706824374285705,MS,NA,NA,NA,NA,NA,NA,1,7.13499563,NA,103.01660347841874,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009989,NA,NA
0.14458867,NA,619.4684085562686,0.01831176,NA,NA,1.71140369,0.00000000,0.07240675,0.00000000,320.6148249954081,NA,133.57122682,8.59703879,0.00017378,NA,13.49452006,0.00000000,0.02136315,-9.80777630,1.74980753,NA,0.34471481,1.83630306,5.00000000,21.50637589,0.003816320766285714,MS,0.00041333,NA,0.03471747,1.55042830,0.16000635,0.36420320,1,1.08135062,NA,24.917728624810508,NA,0.63236603,247.62860859388655,NA,NA,0.00000000,roots,NA,NA,0.00049001,0.07977226,0.12028282
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.166640519335,NA,214.51218335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00000000,NA,0.006128919524285715,MS,NA,NA,NA,NA,NA,NA,1,7.13494445,NA,102.8704013887252,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009989,NA,NA
0.14189262,NA,624.3022335773478,0.01820292,NA,NA,1.70454756,0.02282148,0.04458212,2.74513062,313.37033568853445,NA,130.74477257,8.63773372,0.00017404,NA,13.51831132,0.45653245,0.01314799,13.72565309,1.74650609,NA,0.34134269,1.82538868,6.00000000,21.70601475,0.0037355649305714288,MS,0.00025319,NA,0.03476844,1.54808995,0.09892205,0.35741213,1,1.08693896,NA,25.009783815437217,NA,0.62860746,248.436044872879,NA,NA,0.00000000,roots,NA,NA,0.00049314,0.07935761,0.12023213
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322.13436623912577,NA,214.78996948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00000000,NA,0.006136856270857143,MS,NA,NA,NA,NA,NA,NA,1,7.03000529,NA,101.21618118690641,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009842,NA,NA
0.13939422,NA,629.8716523847912,0.01812450,NA,NA,1.69620363,0.04068030,0.03060863,4.64651889,307.2583096418958,NA,128.38182555,8.68279453,0.00017429,NA,13.57348061,0.76039520,0.00877501,23.23259443,1.74362661,NA,0.33847843,1.81752470,7.00000000,21.93162074,0.0036680521585714288,MS,0.00016810,NA,0.03481919,1.54614352,0.06636088,0.35111893,1,1.12398375,NA,25.824466335948657,NA,0.62589934,249.3680792114923,NA,NA,0.00000000,roots,NA,NA,0.00049707,0.07919700,0.12020910
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319.7737964960875,NA,213.51201739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00000000,NA,0.006100343354000001,MS,NA,NA,NA,NA,NA,NA,1,6.95730838,NA,100.03063732018343,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009740,NA,NA
0.13689129,NA,635.8199445077754,0.01805731,NA,NA,1.68705516,0.04534917,0.02204420,4.87917631,301.37258093811016,NA,126.10543865,8.73053629,0.00017455,NA,13.63963249,0.79494200,0.00609372,24.39588154,1.74075657,NA,0.33579456,1.81078734,8.00000000,22.17088251,0.003603012532857143,MS,0.00011610,NA,0.03486975,1.54413387,0.04633169,0.34481434,1,1.17207832,NA,26.890432423518952,NA,0.62357921,250.37564909412887,NA,NA,0.00000000,roots,NA,NA,0.00050135,0.07910140,0.12018550
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.00000000,NA,NA,MS,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,xylem,NA,NA,0.00000000,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.4544529933596,NA,211.59854847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.00000000,NA,0.006045672813428571,MS,NA,NA,NA,NA,NA,NA,1,6.86075368,NA,98.50121496013095,NA,NA,NA,NA,NA,NA,phloem,NA,NA,0.00009605,NA,NA
