Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass,sum_dry_mass_stem,Cont_WSC_DM_laminae,mstruct_laminae,Cont_WSC_DM,N_content_mstruct_shoot,N_content_mstruct,sum_respi_roots,NS,N_content_roots,Cont_WSC_DM_roots,mstruct_stem,N_content_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_stem,Total_Photosynthesis,N_content_mstruct_roots,N_content_total_DM_shoot,C_N_ratio,t,Tillers_Photosynthesis,mstruct_shoot,axis,sum_respi_shoot,dry_mass_phloem,mstruct,C_respired_roots,sum_C_g,C_respired_shoot,Total_Transpiration,plant,NS_shoot,N_content,sum_dry_mass_roots,shoot_roots_ratio,NS_roots,sum_N_g_shoot,sum_dry_mass_shoot,sum_NSC_g,senesced_mstruct,NNI,C_N_ratio_shoot,sum_dry_mass_laminae,C_exudated,NS_stem,NS_laminae,shoot_roots_mstruct_ratio
0.00000000,0.00201406,0.07993414,0.01181429,12.409347568088904,0.01375684,15.344652725148332,6.93914260,3.60970820,0.33222018,30.19804956,1.28862302,16.383655981433325,0.00706845,4.03867221,14.062571469492621,17.416403638445715,0.00000000,1.62698461,4.03867221,16.72500658,10.00000000,0.00000000,0.02082529,MS,0.47715308,0.00668711,0.05579563,0.95105809,0.03368513,0.78632999,0.00011628,1,41.79868555,2.51964673,0.04415266,0.81040359,20.79685247,0.00144510,0.03578148,0.00913506,0.00000000,0.91788005,10.40967222,0.02396719,0.22338238,40.17031378,42.60136827,0.59551364
0.00000000,0.00201838,0.07988138,0.01181303,12.25361205491965,0.01378406,15.158082797791822,6.93320146,3.61182820,0.32983137,30.04298350,1.29674741,16.158953468741455,0.00707829,4.04319260,13.92409046291783,17.312467358621,0.00000000,1.63321321,4.04319260,16.67562915,11.00000000,0.00000000,0.02086235,MS,0.47529044,0.00659881,0.05588256,0.94626371,0.03365783,0.93693140,0.00011644,1,41.68361293,2.52672725,0.04410696,0.81108338,20.60146247,0.00144643,0.03577442,0.00906951,0.00000000,0.91890741,10.39760874,0.02396139,0.22972899,40.08064695,42.47387923,0.59572196
0.00000000,0.00202261,0.07982942,0.01181344,12.108071901467751,0.01380710,14.978233210768469,6.92869154,3.61404497,0.32748015,29.89409560,1.30458079,15.940469396502316,0.00708798,4.04791333,13.792734607712559,17.208427932818516,0.00000000,1.63914678,4.04791333,16.62752689,12.00000000,0.00000000,0.02089508,MS,0.47357233,0.00651353,0.05596510,0.94140763,0.03363092,0.88694992,0.00011659,1,41.57752146,2.53365891,0.04406394,0.81167214,20.41098435,0.00144776,0.03576548,0.00900628,0.00000000,0.91998030,10.38498670,0.02395203,0.23695020,40.00074428,42.35520771,0.59580958
0.00000000,0.00202672,0.07977784,0.01181499,11.96876326977509,0.01382731,14.80287170081311,6.92506005,3.61626614,0.32516965,29.74917585,1.31217474,15.726370272597231,0.00709766,4.05275150,13.665834773177401,17.104530191727722,0.00000000,1.64482083,4.05275150,16.58059695,13.00000000,0.00000000,0.02092497,MS,0.47190210,0.00642999,0.05604460,0.93649802,0.03360425,0.85335723,0.00011671,1,41.47702017,2.54045677,0.04402271,0.81219752,20.22384979,0.00144907,0.03575513,0.00894463,0.00000000,0.92107989,10.37204628,0.02394015,0.24418350,39.92664284,42.24216534,0.59581991
0.00000000,0.00203205,0.07974837,0.01181827,11.8333864886192,0.01385407,14.631747169422942,6.92546844,3.62022230,0.32289857,29.61555478,1.31949983,15.51769790189526,0.00710741,4.05899237,13.542191091146085,17.004585463155898,0.00000000,1.65022280,4.05899237,16.52853738,14.00000000,0.00000000,0.02096148,MS,0.47082130,0.00635008,0.05613045,0.93153416,0.03358677,0.82037081,0.00011681,1,41.39035642,2.54807338,0.04398381,0.81313000,20.04111034,0.00145168,0.03576456,0.00888937,0.00000000,0.92249827,10.35537990,0.02394629,0.25181389,39.86086440,42.14521064,0.59602203
0.00000000,0.00203628,0.07970097,0.01181897,11.694921380935323,0.01387607,14.457064698882919,6.92261601,3.62254747,0.32066082,29.47226037,1.32673978,15.305313661727652,0.00711713,4.06414739,13.414679580215452,16.89808074195846,0.00000000,1.65540500,4.06414739,16.48204429,15.00000000,0.00000000,0.02099320,MS,0.46924920,0.00626550,0.05621130,0.92651352,0.03356207,0.84805265,0.00011692,1,41.29174013,2.55490085,0.04394245,0.81375774,19.85406719,0.00145328,0.03575851,0.00882910,0.00000000,0.92366986,10.34165524,0.02393954,0.25610628,39.78216591,42.03701824,0.59609140
0.00000000,0.00204044,0.07965413,0.01182076,11.559322124940714,0.01389617,14.285737984167485,6.92037749,3.62486265,0.31844566,29.33192727,1.33377324,15.09658974963733,0.00712689,4.06940931,13.290017159776903,16.793755271688433,0.00000000,1.66036750,4.06940931,16.43652978,16.00000000,0.00000000,0.02102306,MS,0.46767663,0.00618289,0.05629002,0.92140318,0.03353770,0.82377817,0.00011702,1,41.19671487,2.56162057,0.04390263,0.81433645,19.66999821,0.00145488,0.03575151,0.00877009,0.00000000,0.92486575,10.32766148,0.02393075,0.26059653,39.70867132,41.93174400,0.59611176
0.00000000,0.00204456,0.07960699,0.01182196,11.423359337730224,0.01391638,14.11452010173247,6.91824616,3.62711989,0.31625535,29.19139110,1.34068362,14.888563975055483,0.00713659,4.07477011,13.164670194916567,16.688294343147437,0.00000000,1.66515631,4.07477011,16.39148528,17.00000000,0.00000000,0.02105297,MS,0.46606549,0.00610009,0.05636861,0.91620598,0.03351332,0.82357774,0.00011713,1,41.10111126,2.56831314,0.04386273,0.81491177,19.48601991,0.00145650,0.03574426,0.00871113,0.00000000,0.92608411,10.31344804,0.02392229,0.26421214,39.63278543,41.82673114,0.59613744
-0.20734498,0.00204857,0.07956198,0.01182328,11.28188823377655,0.01393700,13.940299610430094,6.91465789,3.62916266,0.31408445,29.05231545,1.34795064,14.679240339576802,0.00714636,4.07924450,13.03417042846055,16.57848471810049,0.35827034,1.67041237,4.07924450,16.34901616,18.00000000,0.35827034,0.02108336,MS,0.56157021,0.00601955,0.05644736,0.91090930,0.03349206,0.92397526,0.00012097,1,41.00583770,2.57480688,0.04382393,0.81549159,19.30431856,0.00145784,0.03573805,0.00865522,0.00000000,0.92710102,10.30296780,0.02391477,0.26658639,39.55686678,41.72219797,0.59618114
8.13428409,0.00205254,0.07969302,0.01184947,11.52841349550259,0.01395633,13.929751291963022,6.91348454,3.63122729,0.31219752,29.07209658,1.35287710,14.55214391228186,0.00715610,4.06965289,13.169193066274975,16.494670267860826,8.32311440,1.67437230,4.06965289,16.34872984,19.00000000,8.32311440,0.02111243,MS,1.34037409,0.00601164,0.05652456,0.90576686,0.03355636,1.68746265,0.00030459,1,41.13456304,2.57555338,0.04382743,0.81833658,19.20093898,0.00145960,0.03586559,0.00868555,0.00000000,0.92492111,10.33468540,0.02401611,0.32300127,39.60825901,41.88763646,0.59619184
