t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC
107,351,23,4.4,0,5.466,0.99,400,2.9,80
108,351,24,4.3,0,5.445,0.98,400,4.6,80
109,352,1,4.5,0,5.385,0.96,400,4.6,80
110,352,2,4.5,0,5.346,0.96,400,4.6,80
111,352,3,5.1,0,5.347,0.96,400,4.6,80
112,352,4,5.5,0,5.401,0.95,400,4.6,80
113,352,5,5.8,0,5.489,0.95,400,4.6,80
114,352,6,6.2,0,5.6,0.94,400,4.6,80
115,352,7,6.6,0,5.712,0.94,400,4.6,80
116,352,8,7.1,0,5.84,0.93,400,4.6,80
117,352,9,7.2,11.22222222,6.001,0.95,400,4.6,80
118,352,10,7.7,33.66666667,6.203,0.95,400,4.6,80
119,352,11,7.6,33.66666667,6.433,0.95,400,4.6,80
120,352,12,5.2,516.2222222,5.84,0.95,400,2.9,80
121,352,13,5.6,549.8888889,6.264,0.88,400,2.9,80
122,352,14,4.8,392.7777778,5.415,0.92,400,2.9,80
123,352,15,3.6,157.1111111,6.223,0.95,400,2.9,80
124,352,16,3.5,22.44444444,5.957,0.96,400,2.9,80
125,352,17,3.6,0,5.733,0.97,400,2.9,80
126,352,18,3.7,0,5.59,0.98,400,2.9,80
127,352,19,3.9,0,5.511,0.99,400,2.9,80
128,352,20,3.9,0,5.48,0.99,400,2.9,80
129,352,21,4.4,0,5.455,0.99,400,2.9,80
130,352,22,4.7,0,5.45,0.99,400,2.9,80
131,352,23,4.4,0,5.466,0.99,400,2.9,80
132,352,24,4.3,0,5.445,0.98,400,4.6,80
133,353,1,4.5,0,5.385,0.96,400,4.6,80
134,353,2,4.5,0,5.346,0.96,400,4.6,80
135,353,3,5.1,0,5.347,0.96,400,4.6,80
136,353,4,5.5,0,5.401,0.95,400,4.6,80
137,353,5,5.8,0,5.489,0.95,400,4.6,80
138,353,6,6.2,0,5.6,0.94,400,4.6,80
139,353,7,6.6,0,5.712,0.94,400,4.6,80
140,353,8,7.1,0,5.84,0.93,400,4.6,80
141,353,9,7.2,11.22222222,6.001,0.95,400,4.6,80
142,353,10,7.7,33.66666667,6.203,0.95,400,4.6,80
143,353,11,7.6,33.66666667,6.433,0.95,400,4.6,80
144,353,12,5.2,516.2222222,5.84,0.95,400,2.9,80
145,353,13,5.6,549.8888889,6.264,0.88,400,2.9,80
146,353,14,4.8,392.7777778,5.415,0.92,400,2.9,80
147,353,15,3.6,157.1111111,6.223,0.95,400,2.9,80
148,353,16,3.5,22.44444444,5.957,0.96,400,2.9,80
149,353,17,3.6,0,5.733,0.97,400,2.9,80
150,353,18,3.7,0,5.59,0.98,400,2.9,80
151,353,19,3.9,0,5.511,0.99,400,2.9,80
152,353,20,3.9,0,5.48,0.99,400,2.9,80
153,353,21,4.4,0,5.455,0.99,400,2.9,80
154,353,22,4.7,0,5.45,0.99,400,2.9,80
155,353,23,4.4,0,5.466,0.99,400,2.9,80
156,353,24,4.3,0,5.445,0.98,400,4.6,80
157,354,1,4.5,0,5.385,0.96,400,4.6,80
158,354,2,4.5,0,5.346,0.96,400,4.6,80
159,354,3,5.1,0,5.347,0.96,400,4.6,80
160,354,4,5.5,0,5.401,0.95,400,4.6,80
161,354,5,5.8,0,5.489,0.95,400,4.6,80
162,354,6,6.2,0,5.6,0.94,400,4.6,80
163,354,7,6.6,0,5.712,0.94,400,4.6,80
164,354,8,7.1,0,5.84,0.93,400,4.6,80
165,354,9,7.2,11.22222222,6.001,0.95,400,4.6,80
166,354,10,7.7,33.66666667,6.203,0.95,400,4.6,80
167,354,11,7.6,33.66666667,6.433,0.95,400,4.6,80
168,354,12,5.2,516.2222222,5.84,0.95,400,2.9,80
169,354,13,5.6,549.8888889,6.264,0.88,400,2.9,80
170,354,14,4.8,392.7777778,5.415,0.92,400,2.9,80
171,354,15,3.6,157.1111111,6.223,0.95,400,2.9,80
172,354,16,3.5,22.44444444,5.957,0.96,400,2.9,80
