plant,axis,metamer,organ,element,age,length,Wmax,is_growing,mstruct,senesced_mstruct,Nstruct,amino_acids,proteins,fructan,sucrose,green_area,cytokinins,max_proteins,starch,nitrates,senesced_length_element,Nresidual,max_mstruct,is_over,Ag,Tr,Ts,triosesP,width,thickness,turgor_water_potential,water_content,WC_volume,WC_init_RB,volume,WC_Po,WC_mstruct,volume_v1,WC_volume_v1,WC_volume_v2,vstorage
1,MS,1,blade,LeafElement1,240,0.082,0.003,False,0.004106768,0,2.05E-05,1.69E+00,16.93543686,0,24.15745785,0.00019556,0.349075266,4.40E+03,0,0,0,0,0.004106768,False,0,0,12,0,0.003,0.0005,6.80E-01,0.123,0.123,0.058852312,0.000000123,0.064903522,0.016598558,0.000000123,0.123,0.0984,0.8
1,MS,1,sheath,StemElement,240,0.0285,,False,0.00171,0,0.00000855,0.202319701,2.023197008,0,10.05882353,0.000269,0.04104,1.13E+03,0,0,0,0,0.00171,False,0,0,12,0,0.003,0.0005,6.80E-01,0.04275,0.04275,0.011575054,4.28E-08,0.009525553,0.006911511,4.28E-08,0.04275,0.0342,0.8
1,MS,2,blade,LeafElement1,160,0.092,0.0033,False,0.004837643,0,2.42E-05,2.36E+00,23.63639357,0,28.4567234,0.000230364,0.488601941,4.40E+03,0,0,0,0,0.004837643,False,0,0,12,0,0.0033,0.0005,6.80E-01,0.089290301,0.1518,0.124537006,1.52E-07,0.089290301,0.019552544,1.52E-07,0.1518,0.12144,0.8
1,MS,2,sheath,HiddenElement,160,0.0285,,False,0.00228,0,0.0000114,0.382633557,3.826335573,6.705882353,13.41176471,0.000248,0.0798,1.60E+03,0,0,0,0,0.00228,False,0,0,12,0,0.0033,0.0005,6.80E-01,0.016629855,0.047025,0.020539502,4.70E-08,0.016629855,0.009215287,4.70E-08,0.047025,0.03762,0.8
1,MS,2,sheath,StemElement,160,0.0005,,False,0.00004,0,0.0000002,0.006712869,0.067128694,0,0.235294118,0.000005,0.0014,1.60E+03,0,0,0,0,0.00004,False,0,0,12,0,0.0033,0.0005,6.80E-01,0.000291752,0.000825,0.000360342,8.25E-10,0.000291752,0.000161851,8.25E-10,0.000825,0.00066,0.8
1,MS,3,blade,LeafElement1,80,0.060421565,0.004,True,0.00417081,0,2.09E-05,2.24E+00,22.44062573,0,24.53417647,0.00019861,0.46295991,0,0,0,0,0,0.00417081,False,0,0,12,0,0.00366,0.0005,6.80E-01,0.084158307,0.110571464,1.28E-01,1.11E-07,0.084158307,0.016857397,1.11E-07,0.110571464,0.088457171,0.8
