t,plant,axis,Conc_Nitrates_Soil,SRWC,Tsoil,mineralisation,nitrates,volume,water_content,water_potential
0,1,MS,NA,80.00000000,12,NA,800000.00000000,1,80.00000000,-0.03367976
1,1,MS,799879.48139892,80.00000000,12,0.00393238,799879.48139892,1,80.00000000,-0.03367976
2,1,MS,799767.80747428,80.00000000,12,0.00393238,799767.80747428,1,80.00000000,-0.03367976
3,1,MS,799662.42834548,80.00000000,12,0.00393238,799662.42834548,1,80.00000000,-0.03367976
