t,plant,axis,metamer,organ,element,Ag,Amino_Acids_import,An,D_Fructan,D_Proteins,D_Starch,D_cytokinins,Loading_Amino_Acids,Loading_Sucrose,N_content_total,Nitrates_import,Nresidual,Nstruct,PARa,PARa_prim,Photosynthesis,R_Nnit_red,R_phloem_loading,R_residual,Rd,Regul_S_Fructan,S_Amino_Acids,S_Fructan,S_Proteins,S_Starch,S_Sucrose,Total_Organic_Nitrogen,Total_Transpiration_turgor,Tr,Transpiration,Ts,VPDa,WC_mstruct,Wmax,age,ambient_CO2,amino_acids,area_prim,cytokinins,cytokinins_import,epsilon_volume,fructan,green_area,gs,gs_VPD,gs_VPD_psi,gs_psi,height,is_growing,is_over,length,max_mstruct,max_proteins,mstruct,nb_replications,nitrates,organ_volume,osmotic_water_potential,proteins,resistance,senesced_length_element,senesced_mstruct,starch,sucrose,sum_respi,thickness,total_water_influx,total_water_potential,triosesP,turgor_water_potential,volume,water_content,water_influx,width
0,1,MS,1,blade,LeafElement1,15.60775396,NA,15.46787842,NA,NA,NA,NA,NA,NA,0.06848600,NA,0.00000000,0.00002050,452.31001669,NA,NA,NA,NA,NA,0.13987553,NA,NA,NA,NA,NA,NA,20.08972257,0.02496237,1.97212969,NA,18.68430604,0.40007357,96.75332580,0.00300000,240.44778923,NA,1.69000000,NA,0.34907527,NA,46.15384615,0.00000000,0.00019496,0.30234292,0.28650300,0.28623759,0.28938800,0.04750747,False,False,0.08184200,0.00410677,4400.00000000,0.00410677,1.00000000,0,0.00000008,-0.50099728,16.93543686,11049.03238870,0,0.00000000,0,24.15745785,NA,0.00039904,0.02496237,-0.11029366,0.00000000,0.39070362,0.00000012,0.12238477,0.02496237,0.00232481
0,1,MS,1,sheath,StemElement,1.42399750,NA,1.81408655,NA,NA,NA,NA,NA,NA,0.02322060,NA,0.00000000,0.00000855,183.72481473,NA,NA,NA,NA,NA,0.01155127,NA,NA,NA,NA,NA,NA,2.83623099,0.01048596,0.60244493,NA,18.01540429,0.40007357,96.13452413,NA,240.44778923,NA,0.20231970,NA,0.04104000,NA,46.15384615,0.00000000,0.00026807,0.16159818,0.07741703,0.07738626,0.07775148,0.01424321,False,False,0.02844292,0.00171000,1183.15614503,0.00171000,1.00000000,0,0.00000003,-0.42163709,2.02319701,2976.19866158,0,0.00000000,0,10.05882353,NA,0.00039900,0.01048596,-0.04234874,0.00000000,0.37928835,0.00000004,0.04252776,0.01048596,0.00299399
0,1,MS,2,blade,LeafElement1,16.19224278,NA,16.03972199,NA,NA,NA,NA,NA,NA,0.08023525,NA,0.00000000,0.00002420,423.00662932,NA,NA,NA,NA,NA,0.15252079,NA,NA,NA,NA,NA,NA,27.72496500,0.02935625,1.87924605,NA,18.13960437,0.40007357,96.89669943,0.00330000,160.44778923,NA,2.36000000,NA,0.48860194,NA,46.15384615,0.00000000,0.00024061,0.29482078,0.29545221,0.29517675,0.29844638,0.06200019,False,False,0.09182476,0.00483764,4885.93175850,0.00483764,1.00000000,0,0.00000010,-0.51521462,23.63639357,10732.58283984,0,0.00000000,0,28.45672340,NA,0.00041900,0.02935620,-0.12119861,0.00000000,0.39401601,0.00000015,0.15104938,0.02935620,0.00255729
0,1,MS,2,sheath,HiddenElement,0.00000000,NA,0.00000000,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00001140,NA,NA,NA,NA,NA,NA,0.00000000,NA,NA,NA,NA,NA,NA,5.02325484,0.00000000,0.00000000,NA,20.00000000,0.00000000,95.37887991,NA,160.44778923,NA,0.38263356,NA,0.07980000,NA,46.15384615,6.70588235,0.00024800,0.00000000,0.00000000,0.00000000,0.00000000,NA,False,False,0.02850785,0.00228000,1678.21735658,0.00228000,1.00000000,0,0.00000004,-0.75499398,3.82633557,2569.46153793,0,0.00000000,0,13.41176471,NA,0.00042014,-0.00000000,-0.03367976,0.00000000,0.72131422,0.00000005,0.04705869,-0.00000000,0.00330091
0,1,MS,2,sheath,StemElement,1.91735912,NA,2.43922647,NA,NA,NA,NA,NA,NA,0.03084455,NA,0.00000000,0.00000020,95.24996562,NA,NA,NA,NA,NA,0.01892625,NA,NA,NA,NA,NA,NA,0.08812728,0.00013061,0.42770951,NA,15.42321958,0.40007357,95.36291634,NA,160.44778923,NA,0.00671287,NA,0.00140000,NA,46.15384615,0.00000000,0.00000471,0.15601627,0.08693108,0.08688964,0.08738159,0.02873631,False,False,0.00049944,0.00004000,1678.21735000,0.00004000,1.00000000,0,0.00000000,-0.54638122,0.06712869,45.15670648,0,0.00000000,0,0.23529412,NA,0.00041941,0.00013061,-0.03368140,0.00000000,0.51269982,0.00000000,0.00082261,0.00013061,0.00329632
0,1,MS,3,blade,LeafElement1,16.10119202,NA,15.94195115,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00002357,390.85551914,NA,NA,NA,NA,NA,0.15924087,NA,NA,NA,NA,NA,NA,26.17348287,0.02420777,1.76415008,NA,17.78237148,0.40007357,96.35738186,0.00401993,80.44778923,NA,2.50295283,NA,0.56970314,NA,46.15384615,0.00000000,0.00021384,0.28327894,0.29405627,0.29378239,0.29703341,0.06325997,True,False,0.07068419,0.00470453,0.00000000,0.00470453,1.00000000,0,0.00000010,-0.63634246,25.07015404,6553.10737732,0,0.00000000,0,29.25430997,NA,0.00044955,0.02420607,-0.07774225,0.00000000,0.55860021,0.00000011,0.11032953,0.02420607,0.00301645
0,1,MS,4,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00001008,0.00000000,0.00000000,0.00000000,NA,0,NA,NA,0.00000000,NA,0,0.00000000,0,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,MS,5,internode,HiddenElement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00000000,NA,0.00000000,NA,0.00000000,NA,NA,0.00000000,0.00000000,NA,NA,NA,NA,NA,True,False,0.00005039,0.00000000,0.00000000,0.00000000,NA,0,NA,NA,0.00000000,NA,0,0.00000000,0,0.00000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
