t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
4,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03651843,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32346887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.60701022,NA,NA,NA,NA
5,1,MS,roots,0.03225962,0.00000000,0.06867974,0.17412752,0.02355159,1.49110064,NA,0.00000000,0.00017501,NA,0.10211524,0.11942118,NA,NA,NA,0.06743943,1.11403224,NA,1.47507981,NA,1.30306715,NA,NA,13.42432506,NA,NA,0.00000000,-21.76649029,0.30080902,NA,NA,0.92343487,8.53284720,0.00009033,NA,0.03496309,21.07111856,NA,0.00000000,0.00045910,0.00000000,NA,NA,NA,123.97124970,3.23499478,0.28897585,NA,NA
5,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03582062,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36438401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.49475534,NA,NA,NA,NA
6,1,MS,roots,0.03189740,0.78259960,0.03869285,0.10071278,0.01358165,1.49079104,NA,0.00594923,0.00017546,NA,0.10198050,0.11605274,NA,NA,NA,0.06642736,1.10152338,NA,1.46938000,NA,1.29690031,NA,NA,13.43830529,NA,NA,0.15048360,3.91299798,0.29232427,NA,NA,0.90551771,8.56474966,0.00008931,NA,0.03505241,21.21256907,NA,0.00000000,0.00026377,0.00000000,NA,NA,NA,119.11756370,3.19867079,0.28446060,NA,NA
6,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03475609,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29591509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.17540788,NA,NA,NA,NA
7,1,MS,roots,0.03157872,3.74052485,0.02243776,0.05758404,0.00773532,1.48877106,NA,0.03014697,0.00017590,NA,0.10186646,0.11290546,NA,NA,NA,0.06564562,1.09051839,NA,1.46404371,NA,1.29078819,NA,NA,13.49039355,NA,NA,0.71004277,18.70262425,0.28439663,NA,NA,0.92602725,8.60237488,0.00008842,NA,0.03514083,21.38891816,NA,0.00000000,0.00014957,0.00000000,NA,NA,NA,114.89806495,3.16671382,0.28041754,NA,NA
7,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03430123,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23785586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.14054551,NA,NA,NA,NA
8,1,MS,roots,0.03127283,4.95809631,0.01595648,0.03972328,0.00531452,1.48621047,NA,0.04303446,0.00017634,NA,0.10174736,0.10984958,NA,NA,NA,0.06505943,1.07995505,NA,1.45869724,NA,1.28418816,NA,NA,13.55859376,NA,NA,0.93873297,24.79048157,0.27669919,NA,NA,0.96295463,8.64228939,0.00008756,NA,0.03522839,21.57527565,NA,0.00000000,0.00010229,0.00000000,NA,NA,NA,110.94416375,3.13603937,0.27665636,NA,NA
8,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03403543,NA
