t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
4,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00259574,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13499563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.97388531,NA,NA,NA,NA
5,1,MS,roots,0.01831176,0.00000000,0.07240675,0.16000635,0.02136315,1.71140369,NA,0.00000000,0.00017378,NA,0.12028282,0.14458867,NA,NA,NA,0.07984332,0.63236603,NA,1.74980753,NA,1.55042830,NA,NA,13.49452006,NA,NA,0.00000000,-9.80777630,0.36420320,NA,NA,1.08135062,8.59703879,0.00005127,NA,0.03471747,21.50637589,NA,0.00000000,0.00041333,0.00000000,NA,NA,NA,133.57122682,1.83630306,0.34471481,NA,NA
5,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00193076,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13494445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.51218335,NA,NA,NA,NA
6,1,MS,roots,0.01820292,2.74513062,0.04458212,0.09892205,0.01314799,1.70454756,NA,0.02282148,0.00017404,NA,0.12023213,0.14189262,NA,NA,NA,0.07921795,0.62860746,NA,1.74650609,NA,1.54808995,NA,NA,13.51831132,NA,NA,0.45653245,13.72565309,0.35741213,NA,NA,1.08693896,8.63773372,0.00005097,NA,0.03476844,21.70601475,NA,0.00000000,0.00025319,0.00000000,NA,NA,NA,130.74477257,1.82538868,0.34134269,NA,NA
6,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00096816,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.03000529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214.78996948,NA,NA,NA,NA
7,1,MS,roots,0.01812450,4.64651889,0.03060863,0.06636088,0.00877501,1.69620363,NA,0.04068030,0.00017429,NA,0.12020910,0.13939422,NA,NA,NA,0.07887511,0.62589934,NA,1.74362661,NA,1.54614352,NA,NA,13.57348061,NA,NA,0.76039520,23.23259443,0.35111893,NA,NA,1.12398375,8.68279453,0.00005075,NA,0.03481919,21.93162074,NA,0.00000000,0.00016810,0.00000000,NA,NA,NA,128.38182555,1.81752470,0.33847843,NA,NA
7,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00059519,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95730838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213.51201739,NA,NA,NA,NA
